#,Ticker,Sub_Sector,Category,Issuer,Description,URL
13,IHAK,Cybersecurity,Technology,iShares,iShares cybersecurity ETF tracking companies focused on network and data security solutions.,https://www.ishares.com/us/products/304573/ishares-cybersecurity-and-tech-etf
14,WCBR,Cybersecurity,Technology,WisdomTree,WisdomTree cybersecurity ETF selecting companies generating majority of revenue from cyber protection services.,https://www.wisdomtree.com/investments/etfs/technology/wcbr
15,FDN,Internet,Technology,First Trust,"Tracks the 40 largest US internet companies by market cap including e-commerce, search, and social media.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FDN
16,PNQI,Internet,Technology,Invesco,"Invesco internet ETF covering US and global internet companies across e-commerce, media, and services.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PNQI
17,FINX,Fintech,Technology,Global X,"Global fintech ETF covering companies innovating in payments, lending, blockchain, and financial software.",https://www.globalxetfs.com/funds/finx/
18,IPAY,Payments/Fintech,Technology,ETFMG,"Focuses on digital payments companies including payment processors, networks, and software providers.",https://etfmg.com/funds/ipay/
19,BOTZ,Robotics & AI,Technology,Global X,"Targets robotics and artificial intelligence companies across industrial automation, healthcare robots, and AI.",https://www.globalxetfs.com/funds/botz/
20,ROBO,Robotics,Technology,Robo Global,"Equal-weighted robotics ETF covering companies in automation, actuators, sensing, and AI applications.",https://roboetf.com/
21,IRBO,Robotics & AI,Technology,iShares,iShares robotics and AI ETF tracking companies developing and using automation and artificial intelligence.,https://www.ishares.com/us/products/308878/ishares-robotics-and-artificial-intelligence-multisector-etf
22,ROBT,Robotics,Technology,First Trust,First Trust robotics ETF with tilt toward companies generating majority of revenue from robotic systems.,https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=ROBT
23,AIQ,AI & Technology,Technology,Global X,Covers companies developing and using artificial intelligence including machine learning and big data analytics.,https://www.globalxetfs.com/funds/aiq/
24,ARKQ,Autonomous Tech & Robotics,Technology,ARK,"ARK active ETF investing in autonomous technology, robotics, energy storage, and space exploration.",https://ark-funds.com/funds/arkq/
25,IGN,Networking,Technology,iShares,"Tracks US networking companies including hardware makers, software providers, and telecom equipment firms.",https://www.ishares.com/us/products/239707/ISHARES-NORTH-AMERICAN-TECH-MEDIA-AND-TELECOM-ETF
26,XBI,Biotech,Healthcare,SPDR,Equal-weighted biotech ETF giving significant exposure to small and mid-cap clinical-stage biotech companies.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-biotech-etf-xbi
27,IBB,Biotech,Healthcare,iShares,Market-cap weighted biotech ETF with heavy concentration in large established biotech leaders like Amgen and Gilead.,https://www.ishares.com/us/products/239699/ISHARES-NASDAQ-BIOTECHNOLOGY-ETF
28,ARKG,Genomic Revolution,Healthcare,ARK,"ARK active ETF targeting genomic revolution companies in gene editing, targeted therapies, and bioinformatics.",https://ark-funds.com/funds/arkg/
29,PBE,Biotech,Healthcare,Invesco,Invesco biotech ETF using dynamic selection based on fundamentals across biotech and pharmaceutical companies.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PBE
30,BBH,Biotech,Healthcare,VanEck,VanEck biotech ETF concentrated in top 25 US-listed biotech companies weighted by market cap.,https://www.vaneck.com/us/en/investments/biotech-etf-bbh/
31,IHE,Pharmaceuticals,Healthcare,iShares,"Tracks US pharmaceutical companies engaged in drug discovery, development, and manufacturing.",https://www.ishares.com/us/products/239520/ISHARES-US-PHARMACEUTICALS-ETF
32,PPH,Pharmaceuticals,Healthcare,VanEck,VanEck pharmaceutical ETF covering global pharma companies including large-cap US and European drug makers.,https://www.vaneck.com/us/en/investments/pharmaceutical-etf-pph/
33,PJP,Pharmaceuticals,Healthcare,Invesco,Invesco pharmaceutical ETF using fundamental factor selection across US drug development and manufacturing companies.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PJP
34,IHI,Medical Devices,Healthcare,iShares,"Tracks US medical device companies covering surgical instruments, diagnostics, imaging, and implantable devices.",https://www.ishares.com/us/products/239516/ISHARES-US-MEDICAL-DEVICES-ETF
35,IHF,Healthcare Services/Providers,Healthcare,iShares,"Covers US companies providing health insurance, managed care, hospital management, and healthcare services.",https://www.ishares.com/us/products/239515/ISHARES-US-HEALTHCARE-PROVIDERS-ETF
36,XHS,Healthcare Services,Healthcare,SPDR,"SPDR healthcare services ETF targeting managed care, hospital operators, and specialized healthcare facilities.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-health-care-services-etf-xhs
37,HTEC,Healthcare Technology,Healthcare,ROBO Global,"Tracks companies at intersection of healthcare and technology including digital health, AI diagnostics, and telemedicine.",https://www.roboglobaletfs.com/htec
38,IDNA,Genomics & Immunology,Healthcare,iShares,"iShares genomics ETF covering companies in gene therapy, sequencing, CRISPR editing, and immunology research.",https://www.ishares.com/us/products/305225/ishares-genomics-immunology-and-healthcare-etf
39,GNOM,Genomics,Healthcare,Global X,Global X genomics ETF targeting companies advancing genomic science including sequencing tools and gene therapy.,https://www.globalxetfs.com/funds/gnom/
40,PSCH,Small Cap Healthcare,Healthcare,Invesco,"Small cap healthcare ETF giving exposure to emerging biotech, medical device, and healthcare service companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCH
41,KBE,Banks,Financials,SPDR,"Equal-weighted bank ETF covering large, mid, and small US commercial and savings banks.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-bank-etf-kbe
42,KRE,Regional Banks,Financials,SPDR,Focuses specifically on US regional banks excluding the largest money-center banks like JPMorgan and BofA.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-regional-banking-etf-kre
43,IAT,Regional Banks,Financials,iShares,iShares regional bank ETF with market-cap weighting across US regional and community banking institutions.,https://www.ishares.com/us/products/239519/ISHARES-US-REGIONAL-BANKS-ETF
44,KBWB,Banking,Financials,Invesco,Invesco banking ETF tracking the KBW Bank Index of 24 large US commercial and savings bank stocks.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=KBWB
45,IAK,Insurance,Financials,iShares,"Tracks US insurance companies including life, property and casualty, and specialty insurance providers.",https://www.ishares.com/us/products/239514/ISHARES-US-INSURANCE-ETF
46,KIE,Insurance,Financials,SPDR,"Equal-weighted insurance ETF covering property and casualty, life, health, and specialty insurance companies.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-insurance-etf-kie
47,KBWP,Insurance,Financials,Invesco,Invesco insurance ETF tracking the KBW Insurance Index of leading US property casualty and life insurers.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=KBWP
48,IAI,Broker-Dealers,Financials,iShares,"Covers US investment banks, broker-dealers, and securities exchange companies.",https://www.ishares.com/us/products/239513/ISHARES-US-BROKER-DEALERS-INVESTMENT-MANAGERS-ETF
49,PSP,Private Equity,Financials,Invesco,Provides exposure to publicly listed private equity firms and alternative asset managers.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSP
50,ARKF,Fintech Innovation,Financials,ARK,ARK active fintech ETF investing in companies transforming financial services through technology innovation.,https://ark-funds.com/funds/arkf/
51,REM,Mortgage REITs,Financials,iShares,Tracks US mortgage REITs that earn income from mortgage-backed securities and real estate loans.,https://www.ishares.com/us/products/239543/ISHARES-MORTGAGE-REAL-ESTATE-ETF
52,MORT,Mortgage REITs,Financials,VanEck,"VanEck mortgage REIT ETF covering companies that originate, acquire, and manage mortgage-related assets.",https://www.vaneck.com/us/en/investments/mortgage-reit-income-etf-mort/
53,VNQ,REITs,Financials,Vanguard,Vanguard REIT ETF tracking nearly all US publicly traded real estate investment trusts across all property types.,https://investor.vanguard.com/investment-products/etfs/profile/vnq
54,IYR,Real Estate/REITs,Financials,iShares,"iShares US real estate ETF covering REITs and real estate companies across residential, commercial, and industrial.",https://www.ishares.com/us/products/239520/ISHARES-US-REAL-ESTATE-ETF
55,RWR,REITs,Financials,SPDR,SPDR Dow Jones REIT ETF tracking equity REITs with income-generating real estate assets.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-dow-jones-reit-etf-rwr
56,REZ,Residential REITs,Financials,iShares,"Focuses on US residential REITs including apartment communities, single-family rentals, and senior housing.",https://www.ishares.com/us/products/239543/ISHARES-RESIDENTIAL-AND-MULTISECTOR-REAL-ESTATE-ETF
57,SRVR,Data & Infrastructure REITs,Financials,Pacer,Pacer ETF targeting data center REITs and cell tower REITs benefiting from digital infrastructure demand.,https://www.paceretfs.com/products/srvr
58,INDS,Industrial REITs,Financials,Pacer,"Pacer ETF focusing on industrial REITs including warehouses, distribution centers, and logistics facilities.",https://www.paceretfs.com/products/inds
59,XOP,Oil & Gas E&P,Energy,SPDR,Equal-weighted oil and gas exploration and production ETF giving significant exposure to smaller E&P companies.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-oil-gas-exploration-production-etf-xop
60,IEO,Oil & Gas E&P,Energy,iShares,iShares oil and gas E&P ETF with market-cap weighting across US upstream energy producers.,https://www.ishares.com/us/products/239522/ISHARES-US-OIL-GAS-EXPLORATION-PRODUCTION-ETF
61,OIH,Oil Equipment & Services,Energy,VanEck,Tracks 25 largest US-listed oil equipment and services companies that support drilling and production operations.,https://www.vaneck.com/us/en/investments/oil-services-etf-oih/
62,IEZ,Oil Equipment,Energy,iShares,"iShares oil equipment ETF covering companies providing drilling equipment, services, and offshore platforms.",https://www.ishares.com/us/products/239521/ISHARES-US-OIL-EQUIPMENT-SERVICES-ETF
63,XES,Oil Equipment Small Cap,Energy,SPDR,"Equal-weighted oil services ETF giving broader exposure across small, mid, and large oilfield service companies.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-oil-gas-equipment-services-etf-xes
64,FCG,Natural Gas,Energy,First Trust,"Tracks US natural gas companies including producers, pipelines, and companies with significant gas reserves.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FCG
65,ICLN,Clean Energy,Energy,iShares,"Global clean energy ETF covering solar, wind, hydroelectric, geothermal, and other renewable energy companies.",https://www.ishares.com/us/products/239738/ISHARES-GLOBAL-CLEAN-ENERGY-ETF
66,QCLN,Clean Energy,Energy,First Trust,"First Trust clean energy ETF with focus on US-listed companies in solar, wind, electric vehicles, and energy storage.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=QCLN
67,ACES,Clean Energy,Energy,ALPS,"ALPS clean energy ETF targeting US companies in wind, solar, biofuels, geothermal, and energy efficiency.",https://www.alpsfunds.com/products/etf/ACES
68,PBW,Clean Energy,Energy,Invesco,Invesco clean energy ETF covering small and mid-cap renewable energy and clean technology companies.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PBW
69,TAN,Solar,Energy,Invesco,"Tracks global solar energy companies across the supply chain including panel makers, installers, and developers.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=TAN
70,RAYS,Solar,Energy,Global X,"Global X solar ETF targeting companies involved in solar panel technology, manufacturing, and project development.",https://www.globalxetfs.com/funds/rays/
71,FAN,Wind Energy,Energy,First Trust,"Tracks global wind energy companies including turbine manufacturers, wind farm operators, and component makers.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FAN
72,NLR,Nuclear & Uranium,Energy,VanEck,"Covers global nuclear energy companies including utilities, uranium miners, and nuclear equipment providers.",https://www.vaneck.com/us/en/investments/uranium-nuclear-etf-nlr/
73,URA,Uranium,Energy,Global X,Global X uranium ETF targeting uranium miners and nuclear fuel cycle companies benefiting from nuclear energy demand.,https://www.globalxetfs.com/funds/ura/
74,AMLP,MLPs / Midstream,Energy,Alerian,Tracks US energy master limited partnerships focused on midstream oil and gas infrastructure like pipelines.,https://www.alpsfunds.com/products/etf/AMLP
75,MLPA,MLPs,Energy,Global X,Global X MLP ETF covering US midstream energy infrastructure companies structured as master limited partnerships.,https://www.globalxetfs.com/funds/mlpa/
76,XRT,Retail,Consumer Discretionary,SPDR,"Equal-weighted retail ETF covering specialty, apparel, auto, internet, and general merchandise retailers.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-retail-etf-xrt
77,RTH,Retail,Consumer Discretionary,VanEck,VanEck retail ETF concentrated in top 25 US retail companies weighted by revenue including Amazon and Home Depot.,https://www.vaneck.com/us/en/investments/retail-etf-rth/
78,IBUY,E-commerce,Consumer Discretionary,Amplify,Amplify e-commerce ETF targeting companies generating majority of revenue from online retail platforms.,https://amplifyetfs.com/ibuy/
79,ONLN,Online Retail,Consumer Discretionary,ProShares,ProShares online retail ETF covering US and international companies primarily selling goods online.,https://www.proshares.com/our-etfs/equity/onln
80,XHB,Homebuilders,Consumer Discretionary,SPDR,SPDR homebuilder ETF covering residential construction companies plus related building products and appliances.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-homebuilders-etf-xhb
81,ITB,Homebuilders,Consumer Discretionary,iShares,iShares homebuilder ETF with heavier concentration in pure-play homebuilders versus building products companies.,https://www.ishares.com/us/products/239523/ISHARES-US-HOME-CONSTRUCTION-ETF
82,PKB,Building & Construction,Consumer Discretionary,Invesco,"Invesco building and construction ETF covering homebuilders, construction materials, and building products companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PKB
83,CARZ,Global Autos,Consumer Discretionary,First Trust,"Tracks global automobile manufacturers, parts suppliers, and electric vehicle companies.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=CARZ
84,DRIV,Electric & Autonomous Vehicles,Consumer Discretionary,Global X,"Covers global companies involved in electric vehicles, autonomous driving technology, and EV infrastructure.",https://www.globalxetfs.com/funds/driv/
85,IDRV,Electric Vehicles,Consumer Discretionary,iShares,"iShares electric vehicle ETF targeting companies across EV production, battery technology, and charging networks.",https://www.ishares.com/us/products/307952/ishares-self-driving-ev-and-tech-etf
86,PEJ,Leisure & Entertainment,Consumer Discretionary,Invesco,"Invesco leisure ETF covering hotels, airlines, restaurants, and entertainment companies tied to consumer spending.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PEJ
87,AWAY,Travel,Consumer Discretionary,ETFMG,"ETFMG travel ETF targeting airlines, hotels, online travel agencies, and cruise lines.",https://etfmg.com/funds/away/
88,JETS,Airlines,Consumer Discretionary,US Global,"US Global Airlines ETF covering US and global commercial airlines, aircraft manufacturers, and airports.",https://usglobaletfs.com/jets/
89,BETZ,Sports Betting,Consumer Discretionary,Roundhill,"Roundhill sports betting ETF covering US and global online gaming, sports wagering, and iGaming companies.",https://www.roundhillinvestments.com/etf/betz/
90,ESPO,Video Games,Consumer Discretionary,VanEck,VanEck video game ETF targeting global companies deriving significant revenue from gaming software and hardware.,https://www.vaneck.com/us/en/investments/video-gaming-and-esports-etf-espo/
91,NERD,Video Games/Esports,Consumer Discretionary,Roundhill,"Roundhill esports ETF covering game developers, tournament organizers, and competitive gaming infrastructure.",https://www.roundhillinvestments.com/etf/nerd/
92,PBJ,Food & Beverage,Consumer Staples,Invesco,"Invesco food and beverage ETF covering packaged food makers, beverage companies, and food distributors.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PBJ
93,FTXG,Consumer Staples AlphaDEX,Consumer Staples,First Trust,First Trust consumer staples ETF using AlphaDEX factor selection to identify undervalued staples stocks.,https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FTXG
94,MOO,Agribusiness,Consumer Staples,VanEck,"VanEck agribusiness ETF covering global companies in fertilizers, agricultural chemicals, equipment, and food production.",https://www.vaneck.com/us/en/investments/agribusiness-etf-moo/
95,VEGI,Agriculture,Consumer Staples,iShares,"iShares agriculture ETF tracking global companies producing crops, livestock, and agricultural chemicals.",https://www.ishares.com/us/products/239738/ISHARES-MSCI-GLOBAL-AGRICULTURE-PRODUCERS-ETF
96,WOOD,Timber & Forestry,Consumer Staples,iShares,"iShares timber and forestry ETF covering companies in paper, packaging, timber REITs, and forest products.",https://www.ishares.com/us/products/239751/ISHARES-GLOBAL-TIMBER-FORESTRY-ETF
97,ITA,Aerospace & Defense,Industrials,iShares,"iShares aerospace and defense ETF covering US companies building aircraft, weapons systems, and defense electronics.",https://www.ishares.com/us/products/239512/ISHARES-US-AEROSPACE-DEFENSE-ETF
98,PPA,Aerospace & Defense,Industrials,Invesco,Invesco aerospace and defense ETF with broad coverage of US defense contractors and commercial aerospace firms.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PPA
99,XAR,Aerospace & Defense,Industrials,SPDR,Equal-weighted aerospace and defense ETF giving more exposure to mid and small-cap defense companies.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-aerospace-defense-etf-xar
100,IYT,Transportation,Industrials,iShares,"iShares transportation ETF covering railroads, trucking, airlines, and logistics companies.",https://www.ishares.com/us/products/239524/ISHARES-TRANSPORTATION-AVERAGE-ETF
101,XTN,Transportation,Industrials,SPDR,"Equal-weighted transportation ETF giving balanced exposure across airlines, trucking, rails, and delivery services.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-transportation-etf-xtn
102,SEA,Shipping,Industrials,Breakwave,Breakwave dry bulk shipping ETF providing exposure to global dry bulk freight rates through futures contracts.,https://www.breakwaveetfs.com/
103,PAVE,Infrastructure,Industrials,Global X,"Global X infrastructure ETF targeting US companies building roads, bridges, utilities, and transportation networks.",https://www.globalxetfs.com/funds/pave/
104,GII,Infrastructure,Industrials,SPDR,"SPDR global infrastructure ETF covering utilities, energy pipelines, and transportation infrastructure worldwide.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-global-infrastructure-etf-gii
105,IFRA,Infrastructure,Industrials,iShares,iShares US infrastructure ETF focused on companies owning and operating critical US infrastructure assets.,https://www.ishares.com/us/products/305522/ishares-us-infrastructure-etf
106,PSCI,Small Cap Industrials,Industrials,Invesco,"Invesco small cap industrials ETF covering emerging industrial companies in aerospace, machinery, and services.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCI
107,GDX,Gold Miners,Materials,VanEck,VanEck gold miners ETF tracking senior gold and silver mining companies producing precious metals globally.,https://www.vaneck.com/us/en/investments/gold-miners-etf-gdx/
108,GDXJ,Junior Gold Miners,Materials,VanEck,VanEck junior gold miners ETF with higher-risk exposure to smaller exploration and development stage miners.,https://www.vaneck.com/us/en/investments/junior-gold-miners-etf-gdxj/
109,RING,Gold Miners,Materials,iShares,iShares gold miners ETF tracking global gold mining companies weighted by market cap.,https://www.ishares.com/us/products/239740/ISHARES-MSCI-GLOBAL-GOLD-MINERS-ETF
110,SIL,Silver Miners,Materials,Global X,Global X silver miners ETF covering primary silver producers and companies with significant silver byproduct revenue.,https://www.globalxetfs.com/funds/sil/
111,SILJ,Junior Silver Miners,Materials,ETFMG,ETFMG junior silver miners ETF targeting smaller silver mining companies with higher growth and risk profiles.,https://etfmg.com/funds/silj/
112,COPX,Copper Miners,Materials,Global X,"Global X copper miners ETF tracking global companies engaged in copper exploration, mining, and refining.",https://www.globalxetfs.com/funds/copx/
113,CPER,Copper,Materials,US Copper Index,Tracks the SummerHaven Copper Index providing direct exposure to copper futures contracts.,https://uscfinvestments.com/cper/
114,SLX,Steel,Materials,VanEck,"VanEck steel ETF covering global steel producers, iron ore miners, and steel product manufacturers.",https://www.vaneck.com/us/en/investments/steel-etf-slx/
115,LIT,Lithium & Battery Tech,Materials,Global X,Global X lithium and battery tech ETF covering full value chain from mining to battery production for EVs.,https://www.globalxetfs.com/funds/lit/
116,REMX,Rare Earth & Strategic Metals,Materials,VanEck,VanEck rare earth ETF tracking global companies mining and refining rare earth elements and strategic metals.,https://www.vaneck.com/us/en/investments/rare-earth-strategic-metals-etf-remx/
117,XME,Metals & Mining,Materials,SPDR,"Equal-weighted metals and mining ETF covering steel, gold, silver, coal, and diversified mining companies.",https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-sp-metals-mining-etf-xme
118,XLU,Utilities,Utilities,SPDR,"SPDR utilities ETF tracking S&P 500 electric, gas, water, and multi-utility companies.",https://www.ssga.com/us/en/intermediary/etfs/funds/utilities-select-sector-spdr-fund-xlu
119,VPU,Utilities,Utilities,Vanguard,"Vanguard utilities ETF providing low-cost exposure to US electric, gas, and water utility companies.",https://investor.vanguard.com/investment-products/etfs/profile/vpu
120,IDU,Utilities,Utilities,iShares,"iShares US utilities ETF covering electric power generators and distributors, gas distributors, and water utilities.",https://www.ishares.com/us/products/239507/ISHARES-US-UTILITIES-ETF
121,PHO,Water,Utilities,Invesco,"Invesco water ETF covering US companies providing water treatment, purification, infrastructure, and analytics.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PHO
122,FIW,Water,Utilities,First Trust,"First Trust water ETF tracking US companies across water utilities, treatment technology, and infrastructure.",https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=FIW
123,CGW,Water,Utilities,Invesco Global,"Invesco global water ETF covering international companies in water utilities, infrastructure, and technology.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=CGW
124,PIO,Global Water,Utilities,Invesco,Invesco global water ETF with international focus on companies solving water scarcity and quality challenges.,https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PIO
125,IYZ,Telecom,Communication Services,iShares,"iShares US telecom ETF covering wireless carriers, wireline providers, and telecom infrastructure companies.",https://www.ishares.com/us/products/239511/ISHARES-US-TELECOMMUNICATIONS-ETF
126,FCOM,Telecom,Communication Services,Fidelity,"Fidelity communication services ETF tracking US companies in telecom, media, entertainment, and internet services.",https://institutional.fidelity.com/app/funds-and-products/etf/snapshot/FIIS_ETF_FCOM/fidelity-msci-communication-services-index-etf.html
127,PBS,Media,Communication Services,Invesco,"Invesco media ETF covering television broadcasters, cable networks, publishing, and advertising companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PBS
128,SOCL,Social Media,Communication Services,Global X,Global X social media ETF targeting companies generating majority of revenue from social networking platforms.,https://www.globalxetfs.com/funds/socl/
129,XITK,Technology & Media,Communication Services,SPDR,SPDR tech and telecom ETF blending technology and communication services companies in a single portfolio.,https://www.ssga.com/us/en/intermediary/etfs/funds/spdr-factset-innovative-technology-etf-xitk
130,MSOS,Cannabis,Thematic,AdvisorShares,AdvisorShares cannabis ETF focused on US multi-state operators in states where cannabis is legal.,https://advisorshares.com/etfs/msos/
131,MJ,Cannabis,Thematic,ETFMG,"ETFMG cannabis ETF covering global cannabis companies including growers, distributors, and pharmaceutical firms.",https://etfmg.com/funds/mj/
132,POTX,Cannabis,Thematic,Global X,"Global X cannabis ETF targeting companies across legal cannabis cultivation, distribution, and retail worldwide.",https://www.globalxetfs.com/funds/potx/
133,UFO,Space,Thematic,Procure,"Procure space ETF covering companies deriving revenue from satellites, launch services, and space technology.",https://www.procure-am.com/etfs/ufo/
134,ARKX,Space,Thematic,ARK,"ARK space exploration ETF investing in companies advancing orbital aerospace, suborbital, and space technology.",https://ark-funds.com/funds/arkx/
135,PRNT,3D Printing,Thematic,ARK,ARK 3D printing ETF targeting companies developing and using additive manufacturing technologies.,https://ark-funds.com/funds/prnt/
136,BLOK,Blockchain,Thematic,Amplify,Amplify blockchain ETF actively managed to cover companies developing and using blockchain technology.,https://amplifyetfs.com/blok/
137,BKCH,Crypto & Blockchain,Thematic,Global X,"Global X blockchain ETF tracking companies in digital asset mining, crypto exchanges, and blockchain development.",https://www.globalxetfs.com/funds/bkch/
138,LEGR,Blockchain,Thematic,First Trust,First Trust blockchain ETF covering companies using or developing blockchain across multiple industries.,https://www.ftportfolios.com/Retail/Etf/EtfSummary.aspx?Ticker=LEGR
139,KARS,Electric Vehicles,Thematic,KraneShares,KraneShares electric vehicle ETF targeting global EV manufacturers and supply chain companies.,https://kraneshares.com/kars/
140,SNSR,Internet of Things,Thematic,Global X,"Global X internet of things ETF covering semiconductor, sensor, and software companies powering connected devices.",https://www.globalxetfs.com/funds/snsr/
141,EDUT,Education,Thematic,Global X,"Global X education ETF targeting companies providing e-learning, educational software, and online tutoring.",https://www.globalxetfs.com/funds/edut/
142,CTEC,Clean Tech,Thematic,Global X,"Global X clean technology ETF covering companies in renewable energy, energy efficiency, and sustainable agriculture.",https://www.globalxetfs.com/funds/ctec/
143,KRBN,Carbon Credits,Thematic,KraneShares,"KraneShares carbon credits ETF providing exposure to EU, California, and global carbon allowance futures.",https://kraneshares.com/krbn/
144,GERM,Virus & Bacteria,Thematic,ETFMG,"ETFMG virus and bacteria ETF covering biotech, pharma, and medical device companies fighting infectious disease.",https://etfmg.com/funds/germ/
145,HERO,Video Games,Thematic,Global X,"Global X video games and esports ETF targeting game developers, publishers, and competitive gaming companies.",https://www.globalxetfs.com/funds/hero/
146,BJK,Gaming & Casinos,Thematic,VanEck,"VanEck gaming ETF covering global casinos, online gaming platforms, and sports betting companies.",https://www.vaneck.com/us/en/investments/gaming-etf-bjk/
147,PSCT,Small Cap Technology,Thematic,Invesco,"Invesco small cap technology ETF covering emerging software, hardware, and semiconductor companies.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCT
148,PSCF,Small Cap Financials,Thematic,Invesco,"Invesco small cap financials ETF covering community banks, small insurers, and regional financial services firms.",https://www.invesco.com/us/financial-products/etfs/product-detail?audienceType=Investor&ticker=PSCF
